Final TrueSkill Ratings:
Team ID: 59297, Mu: 28.81, Sigma: 1.41, Region: Aguascalientes
Team ID: 53022, Mu: 20.28, Sigma: 1.93, Region: San Luis Potosí
Team ID: 47784, Mu: 20.6, Sigma: 1.59, Region: Aguascalientes
Team ID: 60241, Mu: 24.8, Sigma: 1.49, Region: Aguascalientes
Team ID: 53301, Mu: 19.33, Sigma: 1.89, Region: Aguascalientes
Team ID: 9526, Mu: 19.75, Sigma: 2.68, Region: Hidalgo
Team ID: 47794, Mu: 15.560000000000002, Sigma: 1.86, Region: Hidalgo
Team ID: 47793, Mu: 13.7, Sigma: 2.23, Region: Hidalgo
Team ID: 54009, Mu: 17.76, Sigma: 2.33, Region: Hidalgo
Team ID: 52635, Mu: 12.05, Sigma: 3.01, Region: Hidalgo
Team ID: 9523, Mu: 20.53, Sigma: 1.92, Region: Hidalgo
Team ID: 56250, Mu: 33.25, Sigma: 2.72, Region: Maryland
Team ID: 34483, Mu: 20.16, Sigma: 4.14, Region: New York
Team ID: 35194, Mu: 37.46, Sigma: 2.48, Region: New York
Team ID: 59565, Mu: 13.5, Sigma: 4.86, Region: New Jersey
Team ID: 55123, Mu: 17.41, Sigma: 3.9, Region: Mexico State
Team ID: 58802, Mu: 13.62, Sigma: 3.71, Region: Guanajuato
Team ID: 17539, Mu: 21.08, Sigma: 2.83, Region: Durango
Team ID: 20755, Mu: 18.97, Sigma: 4.18, Region: Mexico State
Team ID: 44263, Mu: 15.940000000000001, Sigma: 3.57, Region: Morelos
Team ID: 52873, Mu: 21.07, Sigma: 2.46, Region: Guanajuato
Team ID: 20758, Mu: 28.18, Sigma: 3.16, Region: Mexico State
Team ID: 55122, Mu: 17.3, Sigma: 4.03, Region: Mexico State
Team ID: 43702, Mu: 20.84, Sigma: 2.34, Region: Guanajuato
Team ID: 52872, Mu: 23.340000000000003, Sigma: 2.24, Region: Guanajuato
Team ID: 58963, Mu: 37.13, Sigma: 1.9, Region: Veracruz
Team ID: 60245, Mu: 29.46, Sigma: 1.84, Region: Chiapas
Team ID: 60244, Mu: 28.36, Sigma: 2.1, Region: Chiapas
Team ID: 60242, Mu: 23.330000000000002, Sigma: 1.7, Region: Aguascalientes
Team ID: 44260, Mu: 15.65, Sigma: 3.59, Region: Morelos
Team ID: 59088, Mu: 25.86, Sigma: 1.91, Region: Chihuahua
Team ID: 55726, Mu: 29.269999999999996, Sigma: 1.86, Region: Chihuahua
Team ID: 59086, Mu: 29.040000000000003, Sigma: 1.84, Region: Chihuahua
Team ID: 59087, Mu: 28.410000000000004, Sigma: 1.74, Region: Chihuahua
Team ID: 59089, Mu: 28.72, Sigma: 1.77, Region: Chihuahua
Team ID: 59084, Mu: 26.09, Sigma: 1.74, Region: Chihuahua
Team ID: 55717, Mu: 11.369999999999997, Sigma: 3.24, Region: Chihuahua
Team ID: 58358, Mu: 27.0, Sigma: 2.61, Region: Oklahoma
Team ID: 57967, Mu: 26.18, Sigma: 3.0, Region: Kansas
Team ID: 51743, Mu: 31.16, Sigma: 2.85, Region: Oklahoma
Team ID: 58503, Mu: 20.72, Sigma: 2.93, Region: Texas
Team ID: 54076, Mu: 18.64, Sigma: 3.15, Region: Texas
Team ID: 57722, Mu: 25.44, Sigma: 2.72, Region: Tamaulipas
Team ID: 27454, Mu: 17.98, Sigma: 2.85, Region: Tamaulipas
Team ID: 57548, Mu: 10.4, Sigma: 3.55, Region: Tamaulipas
Team ID: 60237, Mu: 17.1, Sigma: 2.44, Region: Tamaulipas
Team ID: 17425, Mu: 24.470000000000002, Sigma: 2.38, Region: Hidalgo
Team ID: 60570, Mu: 8.6, Sigma: 3.32, Region: Morelos
Team ID: 17395, Mu: 17.61, Sigma: 4.98, Region: Veracruz
Team ID: 58964, Mu: 29.579999999999995, Sigma: 2.27, Region: Veracruz
Team ID: 20788, Mu: 22.01, Sigma: 3.67, Region: Tamaulipas
Team ID: 58965, Mu: 29.53, Sigma: 2.17, Region: Veracruz
Team ID: 20413, Mu: 24.77, Sigma: 3.52, Region: Massachusetts
Team ID: 60995, Mu: 14.25, Sigma: 4.46, Region: Massachusetts
Team ID: 47801, Mu: 30.04, Sigma: 2.17, Region: Hidalgo
Team ID: 58931, Mu: 10.67, Sigma: 3.88, Region: Nuevo León
Team ID: 55718, Mu: 12.25, Sigma: 3.44, Region: Chihuahua
Team ID: 17443, Mu: 21.36, Sigma: 3.43, Region: Quintana Roo
Team ID: 59049, Mu: 29.05, Sigma: 2.77, Region: Michoacán
Team ID: 59258, Mu: 20.75, Sigma: 3.11, Region: Michoacán
Team ID: 17521, Mu: 18.74, Sigma: 3.32, Region: Guanajuato
Team ID: 59050, Mu: 29.45, Sigma: 2.6, Region: Michoacán
Team ID: 61485, Mu: 27.41, Sigma: 3.19, Region: Virginia
